city,province,Latitude,Longitude
آباد,بوشهر,29.0246495,51.2523566
آبادان,خوزستان,30.3636097,48.2591475
آباده,فارس,31.1627056,52.6490454
آباده طشک,فارس,29.8281361,53.5972128
آب بر,زنجان,36.9258587,48.953276
آبی بیگلو,اردبیل,38.28365,48.5527012
آب پخش,بوشهر,29.3604336,51.0713656
آبدان,بوشهر,28.086050200000003,51.78362047831979
آبدانان,ایلام,32.9897172,47.4223907
ابریشم,اصفهان,32.57415855,51.57874288436156
ابرکوه,یزد,31.1324814,53.2803103
آبژدان,خوزستان,32.0667964,49.4578706
آبسرد,تهران,35.6231852,52.1528132
آبش احمد,آذربایجان شرقی,39.1222172,47.394406939671214
آبعلی,تهران,35.7620424,51.9628205
آبیک,قزوین,36.0416927,50.5320519
آبگرم,قزوین,35.7572894,49.2849077
ابهر,زنجان,36.1436784,49.219963
ابوحمیظه,خوزستان,31.5293321,48.2200324
ابوزیدآباد,اصفهان,34.1330331,51.70237699022216
ابوموسی,هرمزگان,25.8859402,55.0313241
ایج,فارس,29.0232949,54.2461207786837
آجین,همدان,34.7357024,47.9266027
اچاچی,آذربایجان شرقی,37.3954214,47.7951473
احمدآباد,یزد,31.297911,54.2256599
احمدابادصولت,خراسان رضوی,,
احمد آباد مستوفی,تهران,35.6340498,51.210016332135126
احمدسرگوراب,گیلان,37.135167550000006,49.37290005139745
اختیارآباد,كرمان,30.3276538,56.9247177
ادیمی,سیستان و بلوچستان,31.1159553,61.4082693
آذرشهر,آذربایجان شرقی,37.7577189,45.9784018
ایذه,خوزستان,31.8303661,49.8685539
آرادان,سمنان,35.2478246,52.4928417
اراک,مركزی,34.0865203,49.6888415
ایرانشهر,سیستان و بلوچستان,27.2069903,60.6882515
آران وبیدگل,اصفهان,34.0699819,51.4763424
ارجمند,تهران,35.8154903,52.5141334
ارداق,قزوین,36.0531207,49.8249049
اردبیل,اردبیل,38.2514233,48.297487
اردستان,اصفهان,33.1293934,52.0488936
اردکان,یزد,32.0528313,54.1917651
اردکان,فارس,30.2623521,51.9836519
اردل,چهارمحال و بختیاری,31.997682,50.6609476
ارزوییه,كرمان,28.4568592,56.3634502
ارسک,خراسان جنوبی,33.63728355,57.42335921544101
ارسنجان,فارس,29.914968,53.3089761
ارطه,مازندران,36.4949892,52.9568562
ارکواز,ایلام,33.3846543,46.5973663
آرمرده,کردستان,35.931781,45.7966561
ارمغانخانه,زنجان,36.9773471,48.3731561
آرین شهر,خراسان جنوبی,33.3319207,59.2333976
ارومیه,آذربایجان غربی,37.530903,45.07633946922322
اروندکنار,خوزستان,29.9785084,48.521158
آزادی,خوزستان,32.4041735,48.2512579
آزادشهر,گلستان,37.0875125,55.1725639
ایزدخواست,فارس,31.5158438,52.1247911
ایزدشهر,مازندران,36.5987867,52.135172
ازگله,کرمانشاه,34.8322142,45.8424966
ازنا,لرستان,33.4568272,49.4537204
ازندریان,همدان,34.504361,48.6909354
اژیه,اصفهان,32.4400685,52.3789114
آسارا,البرز,36.036872,51.1954666
اسالم,گیلان,37.731171,48.9545271
اسپکه,سیستان و بلوچستان,26.8384487,60.1725848
آستارا,گیلان,38.4193239,48.8715278
